Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# contigs (>= 0 bp)	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655
# contigs (>= 1000 bp)	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307
Total length (>= 0 bp)	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774
Total length (>= 1000 bp)	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985
# contigs	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332
Total length	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514
Largest contig	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713
Reference length	114179	114179	114179	114179	114179	114179	114179	114179	114179	114179	114179	114179	114179	114179	114179	114179
GC (%)	68.72	68.77	68.94	69.06	68.89	68.75	68.87	68.90	68.70	68.79	68.88	68.83	68.83	68.81	68.76	68.77
Reference GC (%)	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07	70.07
N50	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347
NG50	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713
N75	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804
NG75	55823	66861	39333	127844	110511	64176	358962	241348	61836	36957	40274	115051	291333	286217	53938	70664
L50	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58
LG50	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1
L75	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115
LG75	2	2	3	1	1	2	1	1	2	3	2	1	1	1	2	2
# misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Misassembled contigs length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# local misassemblies	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
# unaligned contigs	500 + 5 part	372 + 1 part	510 + 4 part	142 + 4 part	586 + 3 part	623 + 9 part	97 + 7 part	52 + 6 part	555 + 5 part	802 + 8 part	685 + 1 part	334 + 4 part	156 + 5 part	93 + 9 part	568 + 1 part	320 + 1 part
Unaligned contigs length	4420814	4389222	4100211	3950785	4384741	4481889	4364145	4244547	4103886	4447939	4333034	4415334	4506828	4465981	4363348	4371326
Genome fraction (%)	99.281	99.710	97.634	1.094	94.178	98.417	100.000	0.930	94.031	99.156	93.752	97.250	100.000	100.000	98.079	99.816
Duplication ratio	1.070	1.001	1.027	1.393	1.019	1.138	1.012	1.504	1.005	1.020	1.005	1.009	1.069	1.072	1.001	1.002
# N's per 100 kbp	0.18	0.00	0.00	5.31	5.36	2.58	0.00	0.00	0.00	0.00	0.00	0.00	14.93	10.16	0.00	0.00
# mismatches per 100 kbp	7.06	7.91	2.69	0.00	9.30	16.02	91.96	376.65	2.79	7.07	33.63	4.50	7.01	13.14	13.39	8.77
# indels per 100 kbp	2.65	2.64	0.00	0.00	3.72	2.67	3.50	94.16	0.00	2.65	67.26	0.00	2.63	2.63	2.68	2.63
# genes	93 + 12 part	99 + 6 part	86 + 17 part	0 + 1 part	63 + 41 part	44 + 61 part	104 + 1 part	0 + 1 part	86 + 18 part	89 + 16 part	70 + 34 part	89 + 15 part	104 + 1 part	103 + 2 part	91 + 14 part	97 + 8 part
Largest alignment	19894	25367	15696	705	5728	5447	57658	938	17253	16390	13961	32606	94324	61232	19624	42054
NGA50	11249	18316	6765	-	3043	1491	57658	-	12345	7865	4127	16585	94324	61232	10332	19945
NGA75	8381	15260	4723	-	1444	1045	56694	-	3236	4579	2285	8089	94324	32309	5728	7084
LGA50	5	3	5	-	14	24	1	-	4	5	10	3	1	1	4	2
LGA75	7	5	11	-	28	47	2	-	9	10	18	5	1	2	8	4
