Assembly	# contigs (>= 200 bp)	# contigs (>= 1000 bp)	Total length (>= 200 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
VC-H-Abyss-Scaffold broken	221	153	4098964	4064893	187	4086764	252583	4033464	47.57	47.49	61204	61204	32019	32118	20	20	42	41	10	515805	6	1 + 0 part	602	97.871	1.051	3.99	7.24	5.70	3484 + 79 part	220353	61162	61162	29070	29699	21	21	45	43
VC-H-Abyss-Scaffold	122	87	4116237	4099616	102	4109111	523887	4033464	47.57	47.49	217596	217596	80568	82716	6	6	15	14	16	924513	68	1 + 0 part	602	98.010	1.055	424.33	7.34	6.68	3515 + 54 part	522201	156774	156774	67355	71310	7	7	18	17
VC-H-Cabog-Scaffold broken	127	127	3855600	3855600	127	3855600	256726	4033464	47.53	47.49	61249	57883	29636	26097	19	21	43	48	20	385832	11	0 + 0 part	0	95.623	1.007	0.00	17.01	7.34	3374 + 123 part	256726	57813	53007	28288	25832	21	22	46	51
VC-H-Cabog-Scaffold	108	108	3855980	3855980	108	3855980	256726	4033464	47.53	47.49	67078	67009	34758	28288	16	17	36	40	21	531956	23	0 + 0 part	0	95.629	1.012	9.85	17.32	9.00	3380 + 117 part	256726	63201	62046	33039	28288	18	19	39	43
VC-H-Msrca-Scaffold broken	105	80	3994617	3980159	91	3989162	555664	4033464	47.50	47.49	241604	241604	85155	79323	6	6	13	14	8	708761	5	0 + 2 part	399	98.147	1.013	0.00	68.63	6.85	3573 + 46 part	555664	236373	236373	76901	76901	6	6	15	15
VC-H-Msrca-Scaffold	102	77	3994677	3980219	88	3989222	555664	4033464	47.50	47.49	246505	246505	85155	79323	6	6	13	14	9	716209	7	0 + 2 part	399	98.147	1.013	1.50	68.63	6.85	3573 + 46 part	555664	236373	236373	76901	76901	6	6	15	15
VC-H-Sga-Scaffold broken	430	274	3892845	3822893	331	3861930	108154	4033464	47.55	47.49	24152	23429	12815	10978	48	52	102	113	3	17831	0	1 + 0 part	551	95.589	1.002	0.00	2.98	2.62	3272 + 159 part	108154	24152	23429	12813	10978	48	52	102	113
VC-H-Sga-Scaffold	430	274	3892845	3822893	331	3861930	108154	4033464	47.55	47.49	24152	23429	12815	10978	48	52	102	113	3	17831	0	1 + 0 part	551	95.589	1.002	0.00	2.98	2.62	3272 + 159 part	108154	24152	23429	12813	10978	48	52	102	113
VC-H-Soap-Scaffold broken	139	81	3945991	3919085	100	3932751	425556	4033464	47.52	47.49	135118	125939	65780	62739	10	11	21	22	15	1155029	50	1 + 1 part	603	97.295	1.009	0.00	14.02	5.58	3479 + 50 part	425699	112904	112904	62739	62256	11	11	22	23
VC-H-Soap-Scaffold	114	58	3948617	3923264	75	3935433	574497	4033464	47.52	47.49	200529	181109	102918	102918	6	7	13	13	15	1605854	76	1 + 1 part	603	97.305	1.009	56.11	14.01	5.58	3480 + 50 part	574463	181115	181115	92025	92025	7	7	14	14
VC-H-Spades-Scaffold broken	120	95	4016891	4004247	106	4012066	246251	4033464	47.42	47.49	98274	98274	52916	52916	13	13	26	26	21	390381	17	1 + 1 part	1261	98.209	1.021	0.00	8.13	7.83	3544 + 46 part	246251	95858	94762	52911	52911	13	14	27	27
VC-H-Spades-Scaffold	120	95	4016891	4004247	106	4012066	246251	4033464	47.42	47.49	98274	98274	52916	52916	13	13	26	26	21	390381	17	1 + 1 part	1261	98.209	1.021	0.00	9.26	8.00	3544 + 46 part	246251	95858	94762	52911	52911	13	14	27	27
VC-H-Velvet-Scaffold broken	261	183	3931494	3894214	213	3914915	157783	4033464	47.50	47.49	40877	40085	22754	20673	30	31	62	66	4	55189	8	1 + 1 part	576	97.038	1.011	0.00	4.47	4.85	3386 + 132 part	157783	40877	39468	22753	20673	30	31	62	66
VC-H-Velvet-Scaffold	124	65	3954039	3927326	85	3940257	524347	4033464	47.50	47.49	172545	172545	92099	82167	7	7	14	15	10	395034	129	1 + 0 part	549	97.140	1.016	547.10	5.18	9.44	3400 + 128 part	521619	171505	171505	91938	80883	7	7	14	15
