All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     CABOG_miseq_ctg  CABOG_hiseq_ctg  MIRA_miseq_ctg  MIRA_hiseq_ctg  MaSuRCA_miseq_ctg  MaSuRCA_hiseq_ctg  SOAPdenovo_miseq_ctg  SOAPdenovo_hiseq_ctg  SPAdes_miseq_ctg  SPAdes_hiseq_ctg  Velvet_miseq_ctg  Velvet_hiseq_ctg
# contigs (>= 200 bp)        188              144              224             1524            173                137                439                   462                   1480              158               179               246             
# contigs (>= 1000 bp)       188              142              131             946             142                108                237                   294                   76                83                108               177             
Total length (>= 200 bp)     318746           3849141          4008924         3956352         4034988            3994843            3930265               3931705               4450408           4000021           3905232           3903763         
Total length (>= 1000 bp)    318746           3848582          3964673         3646461         4014349            3977918            3829930               3851746               3991331           3957821           3872950           3870711         
# contigs                    188              142              162             1234            163                121                327                   364                   148               126               135               205             
Total length                 318746           3848582          3986805         3858629         4030761            3988448            3892100               3899782               4036787           3987612           3891789           3889783         
Largest contig               5646             224340           383237          22077           255146             356964             98351                 69685                 741022            369300            246346            157831          
Reference length             4744448          4744448          4744448         4744448         4744448            4744448            4744448               4744448               4744448           4744448           4744448           4744448         
GC (%)                       41.54            47.54            47.50           47.73           47.47              47.51              47.59                 47.53                 47.37             47.51             47.69             47.64           
Reference GC (%)             61.55            61.55            61.55           61.55           61.55              61.55              61.55                 61.55                 61.55             61.55             61.55             61.55           
N50                          1707             57089            108646          4840            76131              108823             29551                 21660                 262160            137662            105176            46346           
NG50                         -                42806            84300           3820            60576              80293              23391                 17767                 198323            134730            77000             33130           
N75                          1367             30707            43347           2597            45736              57567              17092                 12597                 136216            95826             43442             22927           
NG75                         -                10059            17576           1198            19597              24303              6828                  5089                  65810             52916             16713             9246            
L50                          69               20               11              237             16                 9                  39                    57                    5                 9                 12                28              
LG50                         -                29               15              340             21                 14                 55                    79                    7                 11                16                39              
L75                          121              43               25              502             33                 23                 83                    115                   11                17                26                59              
LG75                         -                82               44              866             51                 38                 141                   187                   17                24                50                100             
# misassemblies              -                0                0               0               0                  0                  0                     0                     0                 0                 0                 0               
Misassembled contigs length  -                0                0               0               0                  0                  0                     0                     0                 0                 0                 0               
# local misassemblies        -                0                0               0               0                  0                  0                     0                     0                 0                 0                 0               
# unaligned contigs          188 + 0 part     136 + 6 part     155 + 7 part    1231 + 3 part   157 + 6 part       116 + 5 part       326 + 1 part          363 + 1 part          142 + 6 part      120 + 6 part      131 + 4 part      202 + 3 part    
Unaligned contigs length     318746           3848019          3986183         3858375         4030059            3987906            3892017               3899699               4036209           3986974           3891439           3889529         
Genome fraction (%)          -                0.004            0.007           0.005           0.007              0.005              0.002                 0.002                 0.005             0.005             0.005             0.005           
Duplication ratio            -                3.145            1.868           1.000           2.108              2.134              1.000                 1.000                 2.276             2.512             1.378             1.000           
# N's per 100 kbp            0.00             0.00             0.70            23.12           0.00               0.00               0.00                  0.00                  5.85              8.75              0.00              0.00            
# mismatches per 100 kbp     -                1675.98          1201.20         1181.10         1675.98            1675.98            2409.64               2409.64               1675.98           1675.98           1181.10           1181.10         
# indels per 100 kbp         -                0.00             300.30          0.00            0.00               0.00               0.00                  0.00                  0.00              0.00              0.00              0.00            
# genes                      -                2 + 0 part       3 + 0 part      3 + 0 part      3 + 0 part         3 + 0 part         1 + 0 part            1 + 0 part            3 + 0 part        3 + 0 part        3 + 0 part        3 + 0 part      
Largest alignment            -                96               96              96              96                 96                 83                    83                    96                96                96                96              
