All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     SA-H-Abyss      SA-H-Cabog      SA-H-Mira       SA-H-Msrca      SA-H-Sga        SA-H-Soap       SA-H-Spades     SA-H-Velvet   
# contigs (>= 0 bp)          132             56              256             52              1921            278             72              82            
# contigs (>= 1000 bp)       89              56              68              35              130             48              40              57            
Total length (>= 0 bp)       3040616         2796508         2890706         2896852         3024925         2856225         2861974         2829571       
Total length (>= 1000 bp)    3031704         2796508         2825994         2889489         2774031         2820329         2851518         2822704       
# contigs                    92              56              110             39              150             52              44              60            
Total length                 3034102         2796508         2853942         2892444         2787797         2822930         2854235         2824718       
Largest contig               244957          285328          379101          449789          173010          364183          350174          336190        
Reference length             2872915         2872915         2872915         2872915         2872915         2872915         2872915         2872915       
GC (%)                       32.92           32.73           32.75           32.85           32.63           32.69           32.78           32.73         
Reference GC (%)             32.76           32.76           32.76           32.76           32.76           32.76           32.76           32.76         
N50                          64963           111165          132448          221821          39954           146332          187080          122507        
NG50                         73887           111165          132448          221821          38102           146332          187080          122507        
N75                          38351           56580           50006           123428          28545           92436           105739          52580         
NG75                         39976           53749           50006           174868          26536           92436           105739          50954         
L50                          13              7               7               5               22              7               6               7             
LG50                         12              7               7               5               23              7               6               7             
L75                          29              16              16              9               43              13              11              15            
LG75                         26              17              16              8               45              13              11              16            
# misassemblies              61              78              77              75              32              61              67              64            
Misassembled contigs length  2016985         2395546         2299960         2708175         1100475         2429427         2666808         2358994       
# local misassemblies        68              63              77              78              44              79              83              78            
# unaligned contigs          9 + 17 part     6 + 13 part     62 + 8 part     3 + 8 part      33 + 27 part    10 + 9 part     8 + 7 part      13 + 8 part   
Unaligned contigs length     194498          64343           110268          110359          167542          102198          89591           104087        
Genome fraction (%)          91.574          90.746          91.177          91.342          89.826          90.730          91.314          91.052        
Duplication ratio            1.081           1.049           1.049           1.062           1.016           1.045           1.056           1.041         
# N's per 100 kbp            0.00            0.00            1.61            0.00            0.00            0.00            2.00            0.00          
# mismatches per 100 kbp     850.67          852.32          865.27          889.85          817.45          859.46          862.97          867.67        
# indels per 100 kbp         61.10           72.39           59.52           59.29           39.18           54.12           52.35           59.29         
# genes                      2457 + 63 part  2450 + 55 part  2468 + 54 part  2473 + 55 part  2367 + 76 part  2440 + 53 part  2469 + 51 part  2455 + 58 part
Largest alignment            187397          172651          187515          187458          137514          187397          187456          187397        
NA50                         42776           45901           52166           70865           32628           79978           70865           64058         
NGA50                        50757           45901           52166           70865           32320           79978           70865           57767         
NA75                         22162           26603           31712           37339           17410           33715           37339           33895         
NGA75                        29333           24159           31712           37339           16567           33070           37339           33070         
LA50                         19              17              16              13              28              13              13              14            
LGA50                        17              17              16              13              29              13              13              15            
LA75                         42              35              34              27              54              27              27              30            
LGA75                        37              37              34              27              58              28              27              31            
