Assembly	V_cholerae_MiSeq_abyss_scf
# contigs (>= 0 bp)	92
# contigs (>= 1000 bp)	55
Total length (>= 0 bp)	1004703
Total length (>= 1000 bp)	979119
# contigs	92
Total length	1004703
Largest contig	111096
Reference length	1072315
GC (%)	47.21
Reference GC (%)	46.91
N50	47862
NG50	45047
N75	24045
NG75	18876
L50	7
LG50	8
L75	15
LG75	17
# misassemblies	1
Misassembled contigs length	8436
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned contigs length	0
Genome fraction (%)	93.499
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3.59
# indels per 100 kbp	4.69
Largest alignment	110288
NA50	47862
NGA50	45047
NA75	24045
NGA75	18876
LA50	7
LGA50	8
LA75	15
LGA75	17
