Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NGA75	LA50	LGA50	LGA75
RS-H-Abyss	1557	464	4633465	4501467	520	4542138	66408	3188524	68.72	69.01	13523	19178	8662	12376	98	58	205	108	0	0	0	180 + 8 part	1357428	98.706	1.012	0.18	5.72	0.48	2872 + 233 part	66408	9239	14570	8910	125	66	139
RS-M-Abyss	846	339	4567617	4474301	382	4503182	71578	3188524	68.77	69.01	22050	27255	11736	20225	67	41	137	74	0	0	1	140 + 1 part	1350450	98.809	1.004	0.00	1.78	0.41	2938 + 175 part	71578	13579	22413	11675	84	48	96
RS-H-Cabog	539	531	4216057	4212622	534	4214745	41321	3188524	68.94	69.01	12421	15593	7179	10836	111	74	222	135	0	0	2	147 + 18 part	1071626	97.583	1.017	0.00	16.59	1.09	2748 + 359 part	41321	9631	12812	7439	129	82	162
RS-M-Cabog	148	145	3952878	3952023	146	3952525	127844	3188524	69.06	69.01	41794	48536	22363	30292	30	22	64	42	2	26700	1	27 + 7 part	876995	95.903	1.012	5.31	5.92	0.49	2928 + 109 part	127843	28128	41176	20375	36	25	53
RS-H-Mira	1581	446	4725855	4355336	640	4494266	110511	3188524	68.89	69.01	18568	26189	9191	16873	69	40	154	77	0	0	1	346 + 17 part	1298106	99.713	1.005	5.36	13.12	0.98	2939 + 205 part	110511	13691	22895	11821	81	43	93
RS-M-Mira	885	528	4662776	4462783	731	4609809	67456	3188524	68.75	69.01	15792	22191	8236	15190	90	52	191	96	0	0	1	395 + 19 part	1414332	99.487	1.007	2.58	33.83	4.73	2888 + 255 part	67456	10627	17344	9861	111	59	119
RS-H-Msrca	130	89	4489204	4468382	106	4479673	358962	3188524	68.87	69.01	176783	200886	102004	142663	10	7	18	11	0	0	3	36 + 16 part	1282560	99.844	1.004	0.00	71.78	1.16	3111 + 30 part	358962	133887	196511	131520	11	7	12
RS-M-Msrca	63	53	4247935	4242597	58	4246144	241348	3188524	68.90	69.01	142742	170720	102371	128010	12	8	21	14	1	20091	1	12 + 10 part	1039992	99.936	1.007	0.00	5.18	0.47	3115 + 29 part	241348	113534	142742	102371	13	9	16
RS-H-Sga	12186	511	5704978	4164683	577	4211737	75323	3188524	68.70	69.01	12872	16853	6960	11565	96	62	204	119	0	0	0	222 + 8 part	1210923	93.970	1.002	0.00	1.40	0.17	2686 + 367 part	75323	9041	13378	6836	116	69	153
RS-M-Sga	1032	726	4621116	4486986	830	4563433	44874	3188524	68.79	69.01	9224	12269	4941	8739	150	86	321	163	0	0	0	241 + 14 part	1379200	99.021	1.009	0.00	0.86	0.63	2688 + 453 part	39550	5261	8742	4922	210	108	232
RS-H-Soap	7436	613	5220141	4360313	720	4440636	45522	3188524	68.88	69.01	11128	15123	5955	9902	121	72	259	137	0	0	5	290 + 9 part	1291141	98.548	1.002	0.00	24.66	7.73	2745 + 391 part	45511	7420	11461	6551	148	81	173
RS-M-Soap	441	302	4554476	4489150	354	4527360	115051	3188524	68.83	69.01	33829	42560	16889	32618	44	26	88	48	0	0	6	149 + 10 part	1354891	99.152	1.010	0.00	1.11	0.95	2967 + 170 part	115051	24662	36571	21145	50	29	56
RS-H-Spades	350	134	4670077	4607692	163	4628908	291333	3188524	68.83	69.01	74486	116634	47310	74016	19	11	38	20	1	74486	2	62 + 11 part	1390624	99.856	1.017	14.93	4.33	0.69	3088 + 55 part	291332	53406	87434	52685	23	12	24
RS-M-Spades	275	100	4618855	4584948	105	4588344	286217	3188524	68.81	69.01	118093	131101	53389	115061	15	10	30	16	0	0	3	38 + 14 part	1389808	99.926	1.004	10.16	7.03	0.54	3106 + 38 part	286217	89068	120555	59218	16	10	18
RS-H-Velvet	798	513	4525236	4422515	586	4475470	59062	3188524	68.76	69.01	13807	18718	7500	12713	98	58	207	110	0	0	2	206 + 4 part	1341366	98.256	1.000	0.00	9.58	0.54	2785 + 345 part	59056	8932	13819	7605	126	69	145
RS-M-Velvet	655	307	4537774	4467985	332	4485514	71713	3188524	68.77	69.01	24347	33352	14804	23747	58	35	115	64	1	70664	6	132 + 2 part	1338001	98.682	1.000	0.00	8.45	0.83	2955 + 174 part	71713	18548	26047	15923	67	38	76
