Assembly	GAGE-B	MIRA_340
# contigs (>= 200 bp)	733	1524
# contigs (>= 1000 bp)	115	946
Total length (>= 200 bp)	4113459	3956352
Total length (>= 1000 bp)	3932194	3646461
# contigs	152	1234
Total length	3957629	3858629
Largest contig	316666	22077
Reference length	4033464	4033464
GC (%)	47.50	47.73
Reference GC (%)	47.49	47.49
N50	92000	4840
NG50	92000	4642
N75	56477	2597
NG75	55736	2373
L50	14	237
LG50	14	255
L75	27	502
LG75	28	555
# misassemblies	24	45
Misassembled contigs length	558799	125492
# local misassemblies	9	10
# unaligned contigs	0 + 2 part	0 + 7 part
Unaligned contigs length	173	615
Genome fraction (%)	97.925	94.917
Duplication ratio	1.016	1.009
# N's per 100 kbp	5.00	23.12
# mismatches per 100 kbp	10.38	17.37
# indels per 100 kbp	3.85	4.41
# genes	3516 + 65 part	2627 + 893 part
Largest alignment	211909	22077
NA50	89505	4812
NGA50	89505	4596
NA75	52881	2576
NGA75	51186	2336
LA50	15	241
LGA50	15	260
LA75	29	509
LGA75	30	562
