Assembly	dataset_488.dat	dataset_482.dat
# contigs (>= 0 bp)	103	113
# contigs (>= 1000 bp)	51	81
Total length (>= 0 bp)	4895627	5009370
Total length (>= 1000 bp)	4884654	4994206
# contigs	53	94
Total length	4886581	5004541
Largest contig	526254	710684
Reference length	4744448	4744448
GC (%)	61.61	61.60
Reference GC (%)	61.55	61.55
N50	180361	278382
NG50	184389	278382
N75	93861	133236
NG75	104748	156215
L50	9	6
LG50	8	6
L75	18	12
LG75	17	11
# misassemblies	0	2
Misassembled contigs length	0	28456
# local misassemblies	0	1
# unaligned contigs	10 + 39 part	40 + 32 part
Unaligned contigs length	4183402	4265289
Genome fraction (%)	14.808	14.751
Duplication ratio	1.001	1.056
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	3648.52	3837.64
# indels per 100 kbp	120.10	141.51
Largest alignment	52419	52397
