Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# contigs (>= 0 bp)	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655
# contigs (>= 1000 bp)	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307
Total length (>= 0 bp)	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774
Total length (>= 1000 bp)	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985
# contigs	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332
Total length	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514
Largest contig	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713
Reference length	943018	943018	943018	943018	943018	943018	943018	943018	943018	943018	943018	943018	943018	943018	943018	943018
GC (%)	68.72	68.77	68.94	69.06	68.89	68.75	68.87	68.90	68.70	68.79	68.88	68.83	68.83	68.81	68.76	68.77
Reference GC (%)	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01
N50	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347
NG50	31941	48079	25608	95358	47771	36319	326722	235641	33248	23585	26876	71815	201460	202404	33564	50143
N75	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804
NG75	28694	39436	22317	88357	44061	31422	242553	204110	27716	18856	24134	65205	131485	174187	31078	46959
L50	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58
LG50	11	8	15	5	8	10	2	2	11	16	15	6	2	2	12	8
L75	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115
LG75	19	14	25	7	13	17	3	4	19	27	24	9	4	4	19	13
# misassemblies	1	0	1	2	1	3	1	1	0	0	1	0	0	1	1	0
Misassembled contigs length	8523	0	3870	84753	5798	46723	557	563	0	0	11354	0	0	134342	2649	0
# local misassemblies	1	1	1	1	1	1	1	2	1	1	3	2	2	1	2	2
# unaligned contigs	385 + 13 part	298 + 1 part	399 + 13 part	105 + 8 part	514 + 16 part	616 + 18 part	64 + 14 part	39 + 9 part	448 + 14 part	637 + 16 part	585 + 4 part	275 + 11 part	113 + 11 part	67 + 13 part	448 + 2 part	247 + 3 part
Unaligned contigs length	3601854	3590271	3322048	3040317	3553551	3658474	3534735	3292726	3351154	3628063	3521262	3598615	3683340	3633251	3566111	3566173
Genome fraction (%)	96.484	96.735	94.206	93.764	98.719	98.937	99.389	99.942	91.055	98.047	97.368	98.048	98.947	99.294	96.387	97.377
Duplication ratio	1.034	1.001	1.006	1.034	1.011	1.022	1.009	1.015	1.002	1.012	1.004	1.005	1.035	1.020	1.001	1.001
# N's per 100 kbp	0.18	0.00	0.00	5.31	5.36	2.58	0.00	0.00	0.00	0.00	0.00	0.00	14.93	10.16	0.00	0.00
# mismatches per 100 kbp	10.38	8.33	43.67	11.54	42.86	47.91	73.26	16.13	0.93	1.41	25.59	0.76	15.11	16.02	10.67	28.86
# indels per 100 kbp	0.66	0.55	4.62	0.45	5.16	4.61	0.64	0.95	0.47	0.43	2.40	0.54	0.86	0.96	0.55	0.54
# genes	778 + 94 part	811 + 64 part	737 + 126 part	810 + 34 part	806 + 88 part	815 + 82 part	882 + 14 part	894 + 7 part	724 + 123 part	757 + 138 part	764 + 125 part	830 + 64 part	866 + 29 part	874 + 21 part	760 + 125 part	817 + 68 part
Largest alignment	36852	66861	35518	88873	45180	49959	200886	205410	37897	44874	35514	64633	201460	143857	39528	46867
NGA50	11629	20189	10333	30364	16769	16317	136269	165053	12103	9538	11091	36020	96559	93962	12775	20694
NGA75	7197	10662	4666	22288	9732	9118	104542	128010	5043	4761	6041	20818	40514	72489	5372	13131
LGA50	26	14	28	10	18	19	3	3	27	30	27	10	4	4	23	16
LGA75	51	30	61	19	36	38	5	5	56	66	56	19	8	7	51	29
