Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NGA50	NGA75	LGA50	LGA75
RS-H-Abyss	1557	464	4633465	4501467	520	4542138	66408	943018	68.72	69.01	13523	31941	8662	28694	98	11	205	19	1	8523	1	385 + 13 part	3601854	96.484	1.034	0.18	10.38	0.66	778 + 94 part	36852	11629	7197	26	51
RS-M-Abyss	846	339	4567617	4474301	382	4503182	71578	943018	68.77	69.01	22050	48079	11736	39436	67	8	137	14	0	0	1	298 + 1 part	3590271	96.735	1.001	0.00	8.33	0.55	811 + 64 part	66861	20189	10662	14	30
RS-H-Cabog	539	531	4216057	4212622	534	4214745	41321	943018	68.94	69.01	12421	25608	7179	22317	111	15	222	25	1	3870	1	399 + 13 part	3322048	94.206	1.006	0.00	43.67	4.62	737 + 126 part	35518	10333	4666	28	61
RS-M-Cabog	148	145	3952878	3952023	146	3952525	127844	943018	69.06	69.01	41794	95358	22363	88357	30	5	64	7	2	84753	1	105 + 8 part	3040317	93.764	1.034	5.31	11.54	0.45	810 + 34 part	88873	30364	22288	10	19
RS-H-Mira	1581	446	4725855	4355336	640	4494266	110511	943018	68.89	69.01	18568	47771	9191	44061	69	8	154	13	1	5798	1	514 + 16 part	3553551	98.719	1.011	5.36	42.86	5.16	806 + 88 part	45180	16769	9732	18	36
RS-M-Mira	885	528	4662776	4462783	731	4609809	67456	943018	68.75	69.01	15792	36319	8236	31422	90	10	191	17	3	46723	1	616 + 18 part	3658474	98.937	1.022	2.58	47.91	4.61	815 + 82 part	49959	16317	9118	19	38
RS-H-Msrca	130	89	4489204	4468382	106	4479673	358962	943018	68.87	69.01	176783	326722	102004	242553	10	2	18	3	1	557	1	64 + 14 part	3534735	99.389	1.009	0.00	73.26	0.64	882 + 14 part	200886	136269	104542	3	5
RS-M-Msrca	63	53	4247935	4242597	58	4246144	241348	943018	68.90	69.01	142742	235641	102371	204110	12	2	21	4	1	563	2	39 + 9 part	3292726	99.942	1.015	0.00	16.13	0.95	894 + 7 part	205410	165053	128010	3	5
RS-H-Sga	12186	511	5704978	4164683	577	4211737	75323	943018	68.70	69.01	12872	33248	6960	27716	96	11	204	19	0	0	1	448 + 14 part	3351154	91.055	1.002	0.00	0.93	0.47	724 + 123 part	37897	12103	5043	27	56
RS-M-Sga	1032	726	4621116	4486986	830	4563433	44874	943018	68.79	69.01	9224	23585	4941	18856	150	16	321	27	0	0	1	637 + 16 part	3628063	98.047	1.012	0.00	1.41	0.43	757 + 138 part	44874	9538	4761	30	66
RS-H-Soap	7436	613	5220141	4360313	720	4440636	45522	943018	68.88	69.01	11128	26876	5955	24134	121	15	259	24	1	11354	3	585 + 4 part	3521262	97.368	1.004	0.00	25.59	2.40	764 + 125 part	35514	11091	6041	27	56
RS-M-Soap	441	302	4554476	4489150	354	4527360	115051	943018	68.83	69.01	33829	71815	16889	65205	44	6	88	9	0	0	2	275 + 11 part	3598615	98.048	1.005	0.00	0.76	0.54	830 + 64 part	64633	36020	20818	10	19
RS-H-Spades	350	134	4670077	4607692	163	4628908	291333	943018	68.83	69.01	74486	201460	47310	131485	19	2	38	4	0	0	2	113 + 11 part	3683340	98.947	1.035	14.93	15.11	0.86	866 + 29 part	201460	96559	40514	4	8
RS-M-Spades	275	100	4618855	4584948	105	4588344	286217	943018	68.81	69.01	118093	202404	53389	174187	15	2	30	4	1	134342	1	67 + 13 part	3633251	99.294	1.020	10.16	16.02	0.96	874 + 21 part	143857	93962	72489	4	7
RS-H-Velvet	798	513	4525236	4422515	586	4475470	59062	943018	68.76	69.01	13807	33564	7500	31078	98	12	207	19	1	2649	2	448 + 2 part	3566111	96.387	1.001	0.00	10.67	0.55	760 + 125 part	39528	12775	5372	23	51
RS-M-Velvet	655	307	4537774	4467985	332	4485514	71713	943018	68.77	69.01	24347	50143	14804	46959	58	8	115	13	0	0	2	247 + 3 part	3566173	97.377	1.001	0.00	28.86	0.54	817 + 68 part	46867	20694	13131	16	29
