All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     SA-H-Abyss   SA-H-Cabog   SA-H-Mira     SA-H-Msrca   SA-H-Sga      SA-H-Soap    SA-H-Spades  SA-H-Velvet
# contigs (>= 0 bp)          132          56           256           52           1921          278          72           82         
# contigs (>= 1000 bp)       89           56           68            35           130           48           40           57         
Total length (>= 0 bp)       3040616      2796508      2890706       2896852      3024925       2856225      2861974      2829571    
Total length (>= 1000 bp)    3031704      2796508      2825994       2889489      2774031       2820329      2851518      2822704    
# contigs                    92           56           110           39           150           52           44           60         
Total length                 3034102      2796508      2853942       2892444      2787797       2822930      2854235      2824718    
Largest contig               244957       285328       379101        449789       173010        364183       350174       336190     
Reference length             27041        27041        27041         27041        27041         27041        27041        27041      
GC (%)                       32.92        32.73        32.75         32.85        32.63         32.69        32.78        32.73      
Reference GC (%)             30.52        30.52        30.52         30.52        30.52         30.52        30.52        30.52      
N50                          64963        111165       132448        221821       39954         146332       187080       122507     
NG50                         244957       285328       379101        449789       173010        364183       350174       336190     
N75                          38351        56580        50006         123428       28545         92436        105739       52580      
NG75                         244957       285328       379101        449789       173010        364183       350174       336190     
L50                          13           7            7             5            22            7            6            7          
LG50                         1            1            1             1            1             1            1            1          
L75                          29           16           16            9            43            13           11           15         
LG75                         1            1            1             1            1             1            1            1          
# misassemblies              0            0            0             0            1             0            0            1          
Misassembled contigs length  0            0            0             0            1721          0            0            1703       
# local misassemblies        0            0            0             0            0             0            0            0          
# unaligned contigs          87 + 5 part  52 + 4 part  93 + 11 part  35 + 3 part  142 + 6 part  47 + 4 part  40 + 4 part  54 + 4 part
Unaligned contigs length     3022953      2792284      2843410       2889815      2777675       2813558      2844232      2814854    
Genome fraction (%)          34.703       12.322       28.723        2.921        32.081        32.432       34.999       32.662     
Duplication ratio            1.188        1.268        1.356         3.328        1.167         1.069        1.057        1.117      
# N's per 100 kbp            0.00         0.00         1.61          0.00         0.00          0.00         2.00         0.00       
# mismatches per 100 kbp     460.36       759.49       1752.68       759.49       953.25        759.49       759.49       582.81     
# indels per 100 kbp         0.00         0.00         445.12        0.00         45.39         0.00         0.00         0.00       
# genes                      10 + 2 part  5 + 1 part   2 + 8 part    1 + 0 part   8 + 3 part    9 + 2 part   10 + 2 part  9 + 2 part 
Largest alignment            4185         1247         2060          751          4185          4185         4185         4185       
