Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# contigs (>= 0 bp)	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655
# contigs (>= 1000 bp)	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307
Total length (>= 0 bp)	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774
Total length (>= 1000 bp)	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985
# contigs	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332
Total length	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514
Largest contig	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713
Reference length	105284	105284	105284	105284	105284	105284	105284	105284	105284	105284	105284	105284	105284	105284	105284	105284
GC (%)	68.72	68.77	68.94	69.06	68.89	68.75	68.87	68.90	68.70	68.79	68.88	68.83	68.83	68.81	68.76	68.77
Reference GC (%)	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76	63.76
N50	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347
NG50	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713
N75	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804
NG75	55823	66861	40728	127844	110511	64176	358962	241348	61836	39550	40274	115051	291333	286217	53938	70664
L50	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58
LG50	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1
L75	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115
LG75	2	2	2	1	1	2	1	1	2	2	2	1	1	1	2	2
# misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Misassembled contigs length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# local misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	507 + 5 part	376 + 0 part	524 + 7 part	142 + 4 part	571 + 6 part	608 + 11 part	94 + 7 part	47 + 7 part	559 + 5 part	808 + 7 part	699 + 0 part	333 + 4 part	151 + 6 part	90 + 9 part	576 + 1 part	323 + 0 part
Unaligned contigs length	4415368	4397908	4176574	3950679	4408570	4484304	4371537	4236250	4115505	4453903	4341342	4425170	4510474	4469410	4372690	4381830
Genome fraction (%)	99.703	99.820	35.324	1.251	78.892	98.459	100.000	5.365	90.904	99.887	94.121	95.210	100.000	99.871	97.489	98.388
Duplication ratio	1.208	1.002	1.026	1.402	1.032	1.211	1.027	1.752	1.005	1.042	1.002	1.019	1.125	1.131	1.001	1.001
# N's per 100 kbp	0.18	0.00	0.00	5.31	5.36	2.58	0.00	0.00	0.00	0.00	0.00	0.00	14.93	10.16	0.00	0.00
# mismatches per 100 kbp	44.77	37.11	16.25	980.39	42.89	56.62	126.01	1628.90	0.00	28.53	13.12	27.93	24.70	18.07	5.85	4.83
# indels per 100 kbp	1.91	1.90	5.42	326.80	0.00	1.95	3.85	70.82	0.00	3.80	0.00	0.00	3.80	1.90	1.95	1.93
Largest alignment	55719	59779	16150	600	5253	6156	76502	2787	37659	27594	13117	37644	73118	77174	29930	39660
NGA50	55719	59779	-	-	1131	1354	76502	-	10168	23925	7843	22081	73118	77174	26081	26045
NGA75	31941	26081	-	-	651	936	26323	-	3950	13441	3933	5975	28008	26467	24546	20153
LGA50	1	1	-	-	24	26	1	-	3	3	6	2	1	1	2	2
LGA75	2	2	-	-	54	50	2	-	6	4	10	5	2	2	3	3
