Assembly	miseq	hiseq
# contigs (>= 500 bp)	196	102
# contigs (>= 1000 bp)	149	87
Total length (>= 500 bp)	3904784	4109111
Total length (>= 1000 bp)	3872255	4099616
# contigs	196	102
Total length	3904784	4109111
Largest contig	178118	523887
Reference length	4033464	4033464
GC (%)	47.56	47.57
Reference GC (%)	47.49	47.49
N50	60973	217596
NG50	60473	217596
N75	27970	80568
NG75	24934	82716
L50	21	6
LG50	22	6
L75	44	15
LG75	48	14
# misassemblies	2	16
Misassembled contigs length	70441	924513
# local misassemblies	0	68
# unaligned contigs	1 + 0 part	1 + 0 part
Unaligned contigs length	619	602
Genome fraction (%)	96.699	98.010
Duplication ratio	1.001	1.055
# N's per 100 kbp	0.00	424.33
# mismatches per 100 kbp	3.31	7.34
# indels per 100 kbp	2.64	6.68
# genes	3413 + 55 part	3515 + 54 part
Largest alignment	178118	522201
NA50	60473	156774
NGA50	60272	156774
NA75	27970	67355
NGA75	24934	71310
LA50	21	7
LGA50	22	7
LA75	44	18
LGA75	48	17
