Assembly	# contigs (>= 200 bp)	# contigs (>= 1000 bp)	Total length (>= 200 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment
CABOG_miseq_ctg	188	188	318746	318746	188	318746	5646	4744448	41.54	61.55	1707	-	1367	-	69	-	121	-	-	-	-	188 + 0 part	318746	-	-	0.00	-	-	-	-
CABOG_hiseq_ctg	144	142	3849141	3848582	142	3848582	224340	4744448	47.54	61.55	57089	42806	30707	10059	20	29	43	82	0	0	0	136 + 6 part	3848019	0.004	3.145	0.00	1675.98	0.00	2 + 0 part	96
MIRA_miseq_ctg	224	131	4008924	3964673	162	3986805	383237	4744448	47.50	61.55	108646	84300	43347	17576	11	15	25	44	0	0	0	155 + 7 part	3986183	0.007	1.868	0.70	1201.20	300.30	3 + 0 part	96
MIRA_hiseq_ctg	1524	946	3956352	3646461	1234	3858629	22077	4744448	47.73	61.55	4840	3820	2597	1198	237	340	502	866	0	0	0	1231 + 3 part	3858375	0.005	1.000	23.12	1181.10	0.00	3 + 0 part	96
MaSuRCA_miseq_ctg	173	142	4034988	4014349	163	4030761	255146	4744448	47.47	61.55	76131	60576	45736	19597	16	21	33	51	0	0	0	157 + 6 part	4030059	0.007	2.108	0.00	1675.98	0.00	3 + 0 part	96
MaSuRCA_hiseq_ctg	137	108	3994843	3977918	121	3988448	356964	4744448	47.51	61.55	108823	80293	57567	24303	9	14	23	38	0	0	0	116 + 5 part	3987906	0.005	2.134	0.00	1675.98	0.00	3 + 0 part	96
SOAPdenovo_miseq_ctg	439	237	3930265	3829930	327	3892100	98351	4744448	47.59	61.55	29551	23391	17092	6828	39	55	83	141	0	0	0	326 + 1 part	3892017	0.002	1.000	0.00	2409.64	0.00	1 + 0 part	83
SOAPdenovo_hiseq_ctg	462	294	3931705	3851746	364	3899782	69685	4744448	47.53	61.55	21660	17767	12597	5089	57	79	115	187	0	0	0	363 + 1 part	3899699	0.002	1.000	0.00	2409.64	0.00	1 + 0 part	83
SPAdes_miseq_ctg	1480	76	4450408	3991331	148	4036787	741022	4744448	47.37	61.55	262160	198323	136216	65810	5	7	11	17	0	0	0	142 + 6 part	4036209	0.005	2.276	5.85	1675.98	0.00	3 + 0 part	96
SPAdes_hiseq_ctg	158	83	4000021	3957821	126	3987612	369300	4744448	47.51	61.55	137662	134730	95826	52916	9	11	17	24	0	0	0	120 + 6 part	3986974	0.005	2.512	8.75	1675.98	0.00	3 + 0 part	96
Velvet_miseq_ctg	179	108	3905232	3872950	135	3891789	246346	4744448	47.69	61.55	105176	77000	43442	16713	12	16	26	50	0	0	0	131 + 4 part	3891439	0.005	1.378	0.00	1181.10	0.00	3 + 0 part	96
Velvet_hiseq_ctg	246	177	3903763	3870711	205	3889783	157831	4744448	47.64	61.55	46346	33130	22927	9246	28	39	59	100	0	0	0	202 + 3 part	3889529	0.005	1.000	0.00	1181.10	0.00	3 + 0 part	96
CABOG_miseq_scf	188	188	318746	318746	188	318746	5646	4744448	41.54	61.55	1707	-	1367	-	69	-	121	-	-	-	-	188 + 0 part	318746	-	-	0.00	-	-	-	-
CABOG_hiseq_scf	94	94	3850141	3850141	94	3850141	355677	4744448	47.54	61.55	134075	67260	52902	15610	10	16	24	48	0	0	0	88 + 6 part	3849578	0.004	3.145	25.97	1675.98	0.00	2 + 0 part	96
MaSuRCA_miseq_scf	173	142	4034988	4014349	163	4030761	255146	4744448	47.47	61.55	76131	60576	45736	19597	16	21	33	51	0	0	0	157 + 6 part	4030059	0.007	2.108	0.00	1675.98	0.00	3 + 0 part	96
MaSuRCA_hiseq_scf	102	77	3995543	3981085	88	3990088	555775	4744448	47.50	61.55	246836	171610	85155	43030	6	8	13	22	0	0	0	83 + 5 part	3989546	0.005	2.134	17.54	1675.98	0.00	3 + 0 part	96
SOAPdenovo_miseq_scf	212	138	3971575	3934276	166	3955352	247379	4744448	47.55	61.55	92267	60043	39820	14087	14	19	32	55	0	0	0	164 + 2 part	3955193	0.002	1.893	1026.18	2380.95	0.00	1 + 0 part	83
SOAPdenovo_hiseq_scf	114	58	3978826	3952597	78	3967072	577829	4744448	47.51	61.55	202254	172769	104018	56462	6	8	13	20	0	0	0	75 + 3 part	3966762	0.005	1.319	1287.95	2127.66	0.00	1 + 1 part	151
SPAdes_miseq_scf	1479	75	4455833	3996618	147	4042074	741022	4744448	47.37	61.55	262160	198323	136216	65810	5	7	11	17	0	0	0	141 + 6 part	4041496	0.005	2.276	5.84	1675.98	0.00	3 + 0 part	96
SPAdes_hiseq_scf	137	72	4222123	4186225	109	4211504	572859	4744448	47.47	61.55	225904	214755	169794	95510	6	8	12	15	0	0	0	103 + 6 part	4210866	0.005	2.512	9.00	1675.98	0.00	3 + 0 part	96
Velvet_miseq_scf	173	108	3904657	3875057	133	3892321	246346	4744448	47.69	61.55	105176	77000	43442	16809	12	16	26	50	0	0	0	129 + 4 part	3891971	0.005	1.378	1.28	1181.10	0.00	3 + 0 part	96
Velvet_hiseq_scf	142	79	3916708	3886781	104	3903678	411927	4744448	47.63	61.55	163386	92165	75755	24036	8	12	18	32	0	0	0	101 + 3 part	3903424	0.005	1.000	515.80	1181.10	0.00	3 + 0 part	96
