Assembly	CABOG_miseq_ctg	CABOG_hiseq_ctg	MIRA_miseq_ctg	MIRA_hiseq_ctg	MaSuRCA_miseq_ctg	MaSuRCA_hiseq_ctg	SOAPdenovo_miseq_ctg	SOAPdenovo_hiseq_ctg	SPAdes_miseq_ctg	SPAdes_hiseq_ctg	Velvet_miseq_ctg	Velvet_hiseq_ctg	CABOG_miseq_scf	CABOG_hiseq_scf	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf	SPAdes_hiseq_scf	Velvet_miseq_scf	Velvet_hiseq_scf
# contigs (>= 200 bp)	188	144	224	1524	173	137	439	462	1480	158	179	246	188	94	173	102	212	114	1479	137	173	142
# contigs (>= 1000 bp)	188	142	131	946	142	108	237	294	76	83	108	177	188	94	142	77	138	58	75	72	108	79
Total length (>= 200 bp)	318746	3849141	4008924	3956352	4034988	3994843	3930265	3931705	4450408	4000021	3905232	3903763	318746	3850141	4034988	3995543	3971575	3978826	4455833	4222123	3904657	3916708
Total length (>= 1000 bp)	318746	3848582	3964673	3646461	4014349	3977918	3829930	3851746	3991331	3957821	3872950	3870711	318746	3850141	4014349	3981085	3934276	3952597	3996618	4186225	3875057	3886781
# contigs	188	142	162	1234	163	121	327	364	148	126	135	205	188	94	163	88	166	78	147	109	133	104
Total length	318746	3848582	3986805	3858629	4030761	3988448	3892100	3899782	4036787	3987612	3891789	3889783	318746	3850141	4030761	3990088	3955352	3967072	4042074	4211504	3892321	3903678
Largest contig	5646	224340	383237	22077	255146	356964	98351	69685	741022	369300	246346	157831	5646	355677	255146	555775	247379	577829	741022	572859	246346	411927
Reference length	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448
GC (%)	41.54	47.54	47.50	47.73	47.47	47.51	47.59	47.53	47.37	47.51	47.69	47.64	41.54	47.54	47.47	47.50	47.55	47.51	47.37	47.47	47.69	47.63
Reference GC (%)	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55
N50	1707	57089	108646	4840	76131	108823	29551	21660	262160	137662	105176	46346	1707	134075	76131	246836	92267	202254	262160	225904	105176	163386
NG50	-	42806	84300	3820	60576	80293	23391	17767	198323	134730	77000	33130	-	67260	60576	171610	60043	172769	198323	214755	77000	92165
N75	1367	30707	43347	2597	45736	57567	17092	12597	136216	95826	43442	22927	1367	52902	45736	85155	39820	104018	136216	169794	43442	75755
NG75	-	10059	17576	1198	19597	24303	6828	5089	65810	52916	16713	9246	-	15610	19597	43030	14087	56462	65810	95510	16809	24036
L50	69	20	11	237	16	9	39	57	5	9	12	28	69	10	16	6	14	6	5	6	12	8
LG50	-	29	15	340	21	14	55	79	7	11	16	39	-	16	21	8	19	8	7	8	16	12
L75	121	43	25	502	33	23	83	115	11	17	26	59	121	24	33	13	32	13	11	12	26	18
LG75	-	82	44	866	51	38	141	187	17	24	50	100	-	48	51	22	55	20	17	15	50	32
# misassemblies	-	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0
Misassembled contigs length	-	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0
# local misassemblies	-	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0
# unaligned contigs	188 + 0 part	136 + 6 part	155 + 7 part	1231 + 3 part	157 + 6 part	116 + 5 part	326 + 1 part	363 + 1 part	142 + 6 part	120 + 6 part	131 + 4 part	202 + 3 part	188 + 0 part	88 + 6 part	157 + 6 part	83 + 5 part	164 + 2 part	75 + 3 part	141 + 6 part	103 + 6 part	129 + 4 part	101 + 3 part
Unaligned contigs length	318746	3848019	3986183	3858375	4030059	3987906	3892017	3899699	4036209	3986974	3891439	3889529	318746	3849578	4030059	3989546	3955193	3966762	4041496	4210866	3891971	3903424
Genome fraction (%)	-	0.004	0.007	0.005	0.007	0.005	0.002	0.002	0.005	0.005	0.005	0.005	-	0.004	0.007	0.005	0.002	0.005	0.005	0.005	0.005	0.005
Duplication ratio	-	3.145	1.868	1.000	2.108	2.134	1.000	1.000	2.276	2.512	1.378	1.000	-	3.145	2.108	2.134	1.893	1.319	2.276	2.512	1.378	1.000
# N's per 100 kbp	0.00	0.00	0.70	23.12	0.00	0.00	0.00	0.00	5.85	8.75	0.00	0.00	0.00	25.97	0.00	17.54	1026.18	1287.95	5.84	9.00	1.28	515.80
# mismatches per 100 kbp	-	1675.98	1201.20	1181.10	1675.98	1675.98	2409.64	2409.64	1675.98	1675.98	1181.10	1181.10	-	1675.98	1675.98	1675.98	2380.95	2127.66	1675.98	1675.98	1181.10	1181.10
# indels per 100 kbp	-	0.00	300.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
# genes	-	2 + 0 part	3 + 0 part	3 + 0 part	3 + 0 part	3 + 0 part	1 + 0 part	1 + 0 part	3 + 0 part	3 + 0 part	3 + 0 part	3 + 0 part	-	2 + 0 part	3 + 0 part	3 + 0 part	1 + 0 part	1 + 1 part	3 + 0 part	3 + 0 part	3 + 0 part	3 + 0 part
Largest alignment	-	96	96	96	96	96	83	83	96	96	96	96	-	96	96	96	83	151	96	96	96	96
