Assembly	GAGE-B broken	GAGE-B	Velvet_1_2_08 broken	Velvet_1_2_08	Velvet_1_2_10 broken	Velvet_1_2_10
# contigs (>= 500 bp)	156	138	135	133	135	133
# contigs (>= 1000 bp)	124	113	109	108	109	108
Total length (>= 500 bp)	3944260	3945576	3891016	3892321	3891016	3892321
Total length (>= 1000 bp)	3921645	3928680	3872867	3875057	3872867	3875057
# contigs	156	138	135	133	135	133
Total length	3944260	3945576	3891016	3892321	3891016	3892321
Largest contig	246346	246346	246346	246346	246346	246346
Reference length	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.52	47.51	47.69	47.69	47.69	47.69
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49
N50	92036	109996	105176	105176	105176	105176
NG50	92036	109996	105176	105176	105176	105176
N75	43442	47047	43442	43442	43442	43442
NG75	39974	46531	39408	39408	39408	39408
L50	15	11	12	12	12	12
LG50	15	11	12	12	12	12
L75	31	25	26	26	26	26
LG75	33	26	28	28	28	28
# misassemblies	14	22	5	6	5	6
Misassembled contigs length	749414	1210318	28731	45660	28731	45660
# local misassemblies	2	13	3	6	3	6
# unaligned contigs	1 + 5 part	1 + 3 part	1 + 2 part	1 + 2 part	1 + 2 part	1 + 2 part
Unaligned contigs length	6703	6324	6297	6297	6297	6297
Genome fraction (%)	97.563	97.598	96.223	96.242	96.223	96.242
Duplication ratio	1.007	1.007	1.007	1.007	1.007	1.007
# N's per 100 kbp	0.00	5.58	0.00	1.28	0.00	1.28
# mismatches per 100 kbp	4.09	3.96	3.99	4.33	3.99	4.33
# indels per 100 kbp	2.80	4.88	2.63	2.65	2.63	2.65
# genes	3491 + 79 part	3492 + 78 part	3458 + 72 part	3459 + 71 part	3458 + 72 part	3459 + 71 part
Largest alignment	246346	246346	246346	246346	246346	246346
NA50	67096	75901	105176	105176	105176	105176
NGA50	63574	67096	105176	105176	105176	105176
NA75	40333	43122	43442	43442	43442	43442
NGA75	39408	40333	39408	39408	39408	39408
LA50	16	13	12	12	12	12
LGA50	17	14	12	12	12	12
LA75	35	32	26	26	26	26
LGA75	37	33	28	28	28	28
