Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment
BC-H-Abyss-Scaffold broken	864	312	5873796	5774294	353	5801552	257581	5432652	35.20	35.50	47088	48622	20272	22430	37	33	87	74	6	4592	2	298 + 42 part	5752078	0.801	1.143	0.00	3420.48	185.47	100 + 11 part	9186
BC-H-Abyss-Scaffold	822	302	5875896	5784758	341	5810521	257581	5432652	35.21	35.50	48439	51322	20272	22540	32	28	81	67	5	4676	1	288 + 41 part	5760196	0.822	1.133	33.56	3224.88	172.50	102 + 12 part	9186
BC-H-Cabog-Scaffold broken	164	163	4797470	4796994	163	4796994	387299	5432652	34.96	35.50	79405	61625	31477	18467	17	22	43	63	0	0	0	122 + 41 part	4757247	0.588	1.244	0.00	3580.01	322.26	59 + 14 part	5194
BC-H-Cabog-Scaffold	150	150	4797750	4797750	150	4797750	387299	5432652	34.97	35.50	80931	69448	31510	19655	16	21	40	59	0	0	0	111 + 39 part	4758003	0.588	1.244	5.84	3238.61	342.55	59 + 14 part	5194
BC-H-Msrca-Scaffold broken	259	180	5640375	5602907	210	5624071	397830	5432652	35.21	35.50	97165	103595	34913	40080	16	15	40	36	4	3269	1	152 + 50 part	5565814	0.897	1.198	0.00	2872.33	205.49	112 + 23 part	9186
BC-H-Msrca-Scaffold	243	178	5678536	5645338	206	5664568	397830	5432652	35.21	35.50	103595	119395	34913	41946	15	14	39	34	5	4701	1	149 + 49 part	5605819	0.903	1.200	673.68	2862.80	224.27	116 + 23 part	9186
BC-H-Sga-Scaffold broken	387	258	2817243	2765319	292	2788872	108597	5432652	34.30	35.50	22083	1820	8798	-	36	223	88	-	0	0	0	287 + 5 part	2785141	0.069	1.001	0.00	2815.77	53.63	3 + 1 part	2675
BC-H-Sga-Scaffold	375	251	2817543	2767588	283	2789969	140984	5432652	34.29	35.50	22086	1863	8897	-	35	215	85	-	0	0	0	278 + 5 part	2786238	0.069	1.001	10.75	2815.77	53.63	3 + 1 part	2675
BC-H-Soap-Scaffold broken	3130	235	5991282	5578447	271	5603986	291831	5432652	35.19	35.50	58377	60330	22983	25203	27	26	67	61	1	503	1	237 + 31 part	5566863	0.658	1.039	0.50	3892.20	147.87	49 + 4 part	9186
BC-H-Soap-Scaffold	3130	235	5991282	5578447	271	5603986	291831	5432652	35.19	35.50	58377	60330	22983	25203	27	26	67	61	1	503	1	237 + 31 part	5566863	0.658	1.039	0.50	3892.20	147.87	49 + 4 part	9186
BC-H-Spades-Scaffold broken	1099	183	5973381	5699133	249	5745221	459337	5432652	35.25	35.50	94312	97380	37419	48782	15	14	38	33	6	4780	1	177 + 54 part	5674072	1.053	1.246	16.01	2299.84	195.12	95 + 24 part	9186
BC-H-Spades-Scaffold	1099	183	5973381	5699133	249	5745221	459337	5432652	35.25	35.50	94312	97380	37419	48782	15	14	38	33	6	4780	1	177 + 54 part	5674072	1.053	1.246	16.01	2306.24	195.12	95 + 24 part	9186
BC-H-Velvet-Scaffold broken	527	251	5016338	4944132	282	4966856	267159	5432652	35.48	35.50	44126	38930	20909	14779	33	39	74	94	0	0	0	250 + 27 part	4924740	0.759	1.022	0.00	3487.03	118.84	46 + 7 part	9186
BC-H-Velvet-Scaffold	482	229	5018223	4954227	253	4972276	267159	5432652	35.49	35.50	46375	41387	23021	16023	29	34	67	85	0	0	1	222 + 26 part	4929919	0.758	1.029	37.91	3401.58	125.72	46 + 7 part	9186
