Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# contigs (>= 0 bp)	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655
# contigs (>= 1000 bp)	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307
Total length (>= 0 bp)	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774
Total length (>= 1000 bp)	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985
# contigs	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332
Total length	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514
Largest contig	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713
Reference length	114045	114045	114045	114045	114045	114045	114045	114045	114045	114045	114045	114045	114045	114045	114045	114045
GC (%)	68.72	68.77	68.94	69.06	68.89	68.75	68.87	68.90	68.70	68.79	68.88	68.83	68.83	68.81	68.76	68.77
Reference GC (%)	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28	69.28
N50	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347
NG50	66408	71578	40728	127844	110511	67456	358962	241348	75323	39550	40274	115051	291333	286217	59062	71713
N75	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804
NG75	55823	66861	39333	127844	110511	64176	358962	241348	61836	36957	40274	115051	291333	286217	53938	70664
L50	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58
LG50	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1
L75	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115
LG75	2	2	3	1	1	2	1	1	2	3	2	1	1	1	2	2
# misassemblies	0	0	0	0	2	3	0	2	0	0	0	0	1	0	0	0
Misassembled contigs length	0	0	0	0	13094	13107	0	7536	0	0	0	0	4429	0	0	0
# local misassemblies	0	0	0	0	2	4	0	0	0	0	0	2	0	0	0	0
# unaligned contigs	485 + 11 part	353 + 5 part	526 + 6 part	144 + 2 part	553 + 11 part	677 + 14 part	85 + 15 part	47 + 6 part	527 + 7 part	786 + 16 part	659 + 4 part	315 + 10 part	136 + 9 part	74 + 17 part	556 + 5 part	308 + 4 part
Unaligned contigs length	4424923	4394197	4203151	3951557	4405860	4483767	4448948	4230601	4143678	4449143	4368330	4424098	4502657	4465716	4368062	4384090
Genome fraction (%)	93.043	95.333	9.749	0.576	71.637	96.325	24.313	9.970	59.380	96.342	63.345	88.267	97.062	98.164	93.703	88.829
Duplication ratio	1.105	1.002	1.043	1.473	1.091	1.162	1.108	1.367	1.005	1.040	1.001	1.030	1.141	1.095	1.005	1.001
# N's per 100 kbp	0.18	0.00	0.00	5.31	5.36	2.58	0.00	0.00	0.00	0.00	0.00	0.00	14.93	10.16	0.00	0.00
# mismatches per 100 kbp	58.56	37.22	125.92	0.00	143.21	110.25	281.30	539.94	17.72	43.69	124.58	93.38	47.08	52.73	26.50	35.99
# indels per 100 kbp	39.67	1.86	8.99	152.21	59.98	7.47	39.67	27.93	1.48	31.85	1.38	16.89	8.15	6.73	1.89	4.00
# genes	76 + 13 part	75 + 15 part	4 + 6 part	1 + 0 part	17 + 63 part	68 + 21 part	15 + 5 part	5 + 4 part	36 + 38 part	74 + 16 part	28 + 50 part	59 + 26 part	85 + 5 part	83 + 7 part	74 + 16 part	72 + 15 part
Largest alignment	28877	22066	4266	657	7641	18822	8261	5388	6834	13892	4851	12631	46425	26351	17843	19145
NGA50	7038	7421	-	-	740	5500	-	-	857	7385	838	4908	22132	16145	6258	13396
NGA75	3395	2771	-	-	-	2563	-	-	-	2816	-	2170	4875	6156	2710	2513
LGA50	4	5	-	-	41	6	-	-	29	6	37	8	2	3	6	4
LGA75	10	11	-	-	-	15	-	-	-	13	-	16	4	6	13	11
