Assembly	XA-H-Abyss	XA-H-Cabog	XA-H-Mira	XA-H-Msrca	XA-H-Sga	XA-H-Soap	XA-H-Spades	XA-H-Velvet
# contigs (>= 0 bp)	2372	189	2969	155	85148	2056	453	258
# contigs (>= 1000 bp)	134	89	472	99	199	146	117	134
Total length (>= 0 bp)	5086459	4848222	6588629	4935414	13567484	5187613	5014024	4913541
Total length (>= 1000 bp)	4899971	4836665	5551355	4901466	4776687	4888668	4942328	4874782
# contigs	154	89	1158	138	230	163	156	156
Total length	4913650	4836665	6022342	4928115	4798962	4900579	4971240	4889453
Largest contig	196813	312406	352831	322669	132038	196882	312376	307295
Reference length	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469
GC (%)	65.09	65.19	64.17	65.08	65.20	65.12	65.04	65.12
Reference GC (%)	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92
N50	89864	107676	91268	117883	49072	79834	117467	83025
NG50	89864	105803	105619	117883	47829	74197	117467	83025
N75	47805	55276	21435	61875	23614	41329	63036	42656
NG75	45155	52143	58443	61875	21743	41138	63036	41763
L50	21	16	21	15	35	21	16	20
LG50	21	17	16	15	37	22	16	20
L75	40	32	53	30	70	44	30	40
LG75	41	34	31	30	76	45	30	42
# misassemblies	2	1	0	0	6	0	0	0
Misassembled contigs length	60758	18508	0	0	256146	0	0	0
# local misassemblies	14	6	7	7	22	6	8	12
# unaligned contigs	88 + 57 part	38 + 46 part	1092 + 50 part	91 + 42 part	119 + 82 part	87 + 62 part	109 + 41 part	90 + 55 part
Unaligned contigs length	3762177	3782691	4939160	3851470	3572104	3832425	3887717	3801991
Genome fraction (%)	20.453	19.597	19.860	20.064	21.403	20.286	20.181	19.899
Duplication ratio	1.133	1.083	1.098	1.080	1.154	1.060	1.081	1.100
# N's per 100 kbp	1.02	0.00	14.26	0.00	0.00	0.00	4.75	0.00
# mismatches per 100 kbp	4032.85	4068.20	4055.15	4176.56	4097.65	4010.62	4049.19	3994.56
# indels per 100 kbp	178.54	171.49	149.80	194.41	149.00	143.12	141.00	181.03
# genes	811 + 78 part	774 + 78 part	780 + 79 part	795 + 70 part	836 + 99 part	803 + 87 part	801 + 77 part	784 + 81 part
Largest alignment	46289	46286	46289	46289	48600	40364	46289	46289
