Assembly	dataset_2194.dat
# contigs (>= 0 bp)	887
# contigs (>= 1000 bp)	71
Total length (>= 0 bp)	4219043
Total length (>= 1000 bp)	3908698
# contigs	186
Total length	3983820
Largest contig	392814
Reference length	4033464
GC (%)	47.34
Reference GC (%)	47.49
N50	246502
NG50	215247
N75	105135
NG75	91956
L50	6
LG50	7
L75	12
LG75	13
# misassemblies	4
Misassembled contigs length	533480
# local misassemblies	1
# unaligned contigs	81 + 3 part
Unaligned contigs length	56002
Genome fraction (%)	97.350
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	6.88
# indels per 100 kbp	3.36
# genes	3505 + 25 part
Largest alignment	392814
NA50	198500
NGA50	198500
NA75	91956
NGA75	91956
LA50	7
LGA50	7
LA75	14
LGA75	14
