Assembly	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet
# contigs (>= 0 bp)	894	617	164	78	687	164	259	90	30012	3344	3161	123	1127	50090	527	444
# contigs (>= 1000 bp)	325	82	163	77	437	96	180	55	463	320	248	73	179	99	251	351
Total length (>= 0 bp)	5879341	5431491	4797470	5419995	5670388	5422635	5640375	5440292	8771094	6180355	5991251	5352193	5962659	17888992	5016338	5325180
Total length (>= 1000 bp)	5771919	5376981	4796994	5419570	5517018	5389079	5602907	5422846	5397822	5340740	5573897	5337776	5678972	5385812	4944132	5295268
# contigs	374	87	163	77	610	132	210	68	567	361	284	79	252	113	282	373
Total length	5805336	5380960	4796994	5419570	5641826	5413818	5624071	5432639	5471145	5368062	5599263	5341631	5729752	5395402	4966856	5310336
Largest contig	257581	430487	387299	258489	524448	311769	397830	766822	108975	106317	268115	606530	459337	346945	267159	91844
Reference length	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652
GC (%)	35.20	35.30	34.96	35.41	35.21	35.42	35.21	35.39	35.18	35.30	35.19	35.28	35.26	35.36	35.48	35.29
Reference GC (%)	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50
N50	42572	130570	79405	155352	43373	116480	97165	246697	23397	25767	57780	246346	94312	103691	44126	24786
NG50	48302	130570	61625	155352	47354	116480	103595	246697	23414	25512	57933	246346	97169	103691	38930	24465
N75	19054	69698	31477	76333	15003	52231	34913	170659	10868	16197	21257	78462	37419	60216	20909	13917
NG75	21996	65667	18467	76333	18696	52231	40080	170659	11069	15678	23414	74856	48782	57869	14779	13213
L50	38	12	17	13	28	14	16	6	69	64	30	6	15	17	33	65
LG50	34	12	22	13	25	14	15	6	68	65	29	6	14	17	39	68
L75	92	26	43	26	85	32	40	13	155	129	74	16	38	34	74	136
LG75	78	27	63	26	75	32	36	13	153	132	68	17	33	35	94	143
# misassemblies	5	2	0	4	1	8	4	9	0	1	1	0	5	5	0	3
Misassembled contigs length	3003	52909	0	541451	995	532679	3269	289559	0	508	503	0	3725	105455	0	72913
# local misassemblies	2	25	0	6	0	14	1	11	0	1	1	21	0	14	0	11
# unaligned contigs	317 + 42 part	0 + 1 part	122 + 41 part	0 + 1 part	490 + 70 part	3 + 4 part	152 + 50 part	0 + 1 part	541 + 26 part	0 + 2 part	250 + 31 part	1 + 0 part	179 + 55 part	2 + 1 part	250 + 27 part	1 + 3 part
Unaligned contigs length	5755368	2338	4757247	2142	5551044	5369	5565814	2142	5444412	2237	5562696	2316	5659887	3406	4924740	2596
Genome fraction (%)	0.792	98.451	0.588	99.323	1.555	99.155	0.897	99.160	0.488	98.348	0.656	98.226	1.048	98.926	0.759	97.661
Duplication ratio	1.163	1.010	1.244	1.006	1.075	1.010	1.198	1.011	1.008	1.004	1.026	1.003	1.229	1.008	1.022	1.003
# N's per 100 kbp	0.00	102.42	0.00	0.00	4.54	3.53	0.00	0.00	0.00	0.00	0.00	0.00	16.04	4.10	0.00	0.00
# mismatches per 100 kbp	3383.28	6.56	3550.71	4.80	3381.23	4.85	2881.27	9.08	3977.69	0.80	3904.84	8.96	2353.02	12.78	3487.03	6.18
# indels per 100 kbp	209.06	8.00	310.54	2.41	117.36	2.21	205.49	3.58	118.45	2.04	142.17	2.98	179.25	2.92	118.84	3.13
# genes	95 + 11 part	5813 + 73 part	59 + 14 part	5934 + 64 part	119 + 77 part	5919 + 85 part	112 + 23 part	5961 + 43 part	22 + 6 part	5684 + 231 part	49 + 4 part	5828 + 58 part	88 + 24 part	5896 + 68 part	46 + 7 part	5543 + 328 part
Largest alignment	9186	430487	5194	258489	5197	311769	9186	766822	5197	106317	9186	606357	9186	346882	9186	91844
NA50	-	130570	-	150479	-	100038	-	246697	-	25767	-	246346	-	103691	-	24577
NGA50	-	130570	-	150479	-	100038	-	246697	-	25512	-	246346	-	103691	-	24465
NA75	-	69698	-	74529	-	51519	-	170659	-	16197	-	78462	-	60216	-	13814
NGA75	-	65667	-	74529	-	51519	-	170659	-	15678	-	74856	-	57817	-	13213
LA50	-	12	-	14	-	15	-	6	-	64	-	6	-	17	-	66
LGA50	-	12	-	14	-	15	-	6	-	65	-	6	-	17	-	68
LA75	-	26	-	27	-	34	-	13	-	129	-	16	-	34	-	137
LGA75	-	27	-	27	-	34	-	13	-	132	-	17	-	35	-	143
