Assembly	1_AH-H-Abyss-Contig	1_AH-H-Cabog-Contig	1_AH-H-Mira-Contig	1_AH-H-Msrca-Contig	1_AH-H-Sga-Contig	1_AH-H-Soap-Contig	1_AH-H-Spades-Contig	1_AH-H-Velvet-Contig	2_BC-H-Abyss-Contig	2_BC-H-Cabog-Contig	2_BC-H-Mira-Contig	2_BC-H-Msrca-Contig	2_BC-H-Sga-Contig	2_BC-H-Soap-Contig	2_BC-H-Spades-Contig	2_BC-H-Velvet-Contig
# contigs	54	94	118	28	144	41	47	53	374	163	610	210	567	284	252	282
Total length	4969260	5004541	4958807	4914380	4869935	4888841	4929385	4886581	5805336	4796994	5641826	5624071	5471145	5599263	5729752	4966856
Largest contig	654090	710684	290325	1124684	199964	455879	592124	526254	257581	387299	524448	397830	108975	268115	459337	267159
Reference length	4744448	4744448	4744448	4744448	4744448	4744448	4744448	4744448	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652
GC (%)	61.53	61.60	61.57	61.61	61.62	61.61	61.54	61.61	35.20	34.96	35.21	35.21	35.18	35.19	35.26	35.48
Reference GC (%)	61.55	61.55	61.55	61.55	61.55	61.55	61.55	61.55	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50
N50	237457	278382	244066	828647	67129	243851	379681	180361	42572	79405	43373	97165	23397	57780	94312	44126
NG50	237457	278382	246249	828647	68839	243851	379681	184389	48302	61625	47354	103595	23414	57933	97169	38930
N75	121603	133236	137773	235264	38026	136903	129901	93861	19054	31477	15003	34913	10868	21257	37419	20909
NG75	122207	156215	140806	245339	40005	165019	137987	104748	21996	18467	18696	40080	11069	23414	48782	14779
L50	7	6	10	3	25	8	5	9	38	17	28	16	69	30	15	33
LG50	7	6	9	3	24	8	5	8	34	22	25	15	68	29	14	39
L75	15	12	16	7	50	15	12	18	92	43	85	40	155	74	38	74
LG75	14	11	15	6	47	14	11	17	78	63	75	36	153	68	33	94
# misassemblies	0	2	1	2	3	0	1	0	5	0	1	4	0	1	5	0
Misassembled contigs length	0	28456	19737	3104	131784	0	579	0	3003	0	995	3269	0	503	3725	0
# local misassemblies	0	1	3	0	9	0	0	0	2	0	0	1	0	1	0	0
# unaligned contigs	12 + 34 part	40 + 32 part	72 + 36 part	2 + 21 part	68 + 61 part	6 + 28 part	13 + 26 part	10 + 39 part	317 + 42 part	122 + 41 part	490 + 70 part	152 + 50 part	541 + 26 part	250 + 31 part	179 + 55 part	250 + 27 part
Unaligned contigs length	4234083	4265289	4226670	4256366	4059484	4182196	4192431	4183402	5755368	4757247	5551044	5565814	5444412	5562696	5659887	4924740
Genome fraction (%)	15.010	14.751	15.145	13.728	15.852	14.870	15.166	14.808	0.792	0.588	1.555	0.897	0.488	0.656	1.048	0.759
Duplication ratio	1.032	1.056	1.021	1.010	1.078	1.002	1.024	1.001	1.163	1.244	1.075	1.198	1.008	1.026	1.229	1.022
# N's per 100 kbp	1.83	0.00	4.21	0.00	0.00	0.00	1.28	0.00	0.00	0.00	4.54	0.00	0.00	0.00	16.04	0.00
# mismatches per 100 kbp	2686.51	3837.64	3566.60	3634.39	4131.45	3967.49	3611.13	3648.52	3383.28	3550.71	3381.23	2881.27	3977.69	3904.84	2353.02	3487.03
# indels per 100 kbp	112.68	141.51	156.57	140.76	166.19	140.82	134.68	120.10	209.06	310.54	117.36	205.49	118.45	142.17	179.25	118.84
# genes	607 + 66 part	598 + 73 part	633 + 64 part	565 + 66 part	623 + 77 part	603 + 67 part	617 + 62 part	606 + 61 part	95 + 11 part	59 + 14 part	119 + 77 part	112 + 23 part	22 + 6 part	49 + 4 part	88 + 24 part	46 + 7 part
Largest alignment	52419	52397	52419	52419	52419	52419	52419	52419	9186	5194	5197	9186	5197	9186	9186	9186
